insert into tblSubjectRating values(subjectRating_seq.nextval, '2.8', '진도 따라잡기가 힘들어요.', 360, 73);
insert into tblSubjectRating values(subjectRating_seq.nextval, '2.3', '선생님께서 정말 잘 가르치셨습니다.', 416, 74);
insert into tblSubjectRating values(subjectRating_seq.nextval, '2.2', '과정 기간이 짧아서 아쉬웠어요.', 417, 74);
insert into tblSubjectRating values(subjectRating_seq.nextval, '2.9', '좋은 곳에 취칙할 수 있을거 같아요.', 418, 74);
insert into tblSubjectRating values(subjectRating_seq.nextval, '3.1', '좋은 곳에 취칙할 수 있을거 같아요.', 419, 74);
insert into tblSubjectRating values(subjectRating_seq.nextval, '2.8', '좋은 사람들이랑 같이 해서 좋았어요.', 420, 74);
insert into tblSubjectRating values(subjectRating_seq.nextval, '3.3', '선생님께서 정말 잘 가르치셨습니다.', 421, 74);
insert into tblSubjectRating values(subjectRating_seq.nextval, '2.6', '진도 따라잡기가 힘들어요.', 422, 75);
insert into tblSubjectRating values(subjectRating_seq.nextval, '2.4', '너무 어려워요.', 423, 75);
insert into tblSubjectRating values(subjectRating_seq.nextval, '4.8', '좋은 사람들이랑 같이 해서 좋았어요.', 424, 75);
insert into tblSubjectRating values(subjectRating_seq.nextval, '3.9', '많은걸 배웠습니다.', 425, 75);
insert into tblSubjectRating values(subjectRating_seq.nextval, '2.4', '프로젝트가 너무 어려웠어요.', 426, 75);
insert into tblSubjectRating values(subjectRating_seq.nextval, '4.4', '프로젝트가 너무 어려웠어요.', 427, 75);
insert into tblSubjectRating values(subjectRating_seq.nextval, '3.0', '선생님께서 정말 잘 가르치셨습니다.', 428, 75);
insert into tblSubjectRating values(subjectRating_seq.nextval, '2.2', '감사합니다.', 429, 75);
insert into tblSubjectRating values(subjectRating_seq.nextval, '3.3', '진도 따라잡기가 힘들어요.', 430, 75);
insert into tblSubjectRating values(subjectRating_seq.nextval, '4.9', '다음 기수 화이팅', 431, 75);
insert into tblSubjectRating values(subjectRating_seq.nextval, '4.9', '과정 기간이 짧아서 아쉬웠어요.', 432, 75);
insert into tblSubjectRating values(subjectRating_seq.nextval, '4.3', '프로젝트가 너무 어려웠어요.', 433, 75);
insert into tblSubjectRating values(subjectRating_seq.nextval, '2.5', '진도 따라잡기가 힘들어요.', 434, 75);
insert into tblSubjectRating values(subjectRating_seq.nextval, '2.5', '프로젝트가 너무 어려웠어요.', 435, 75);
insert into tblSubjectRating values(subjectRating_seq.nextval, '3.2', '좋은 곳에 취칙할 수 있을거 같아요.', 436, 75);
insert into tblSubjectRating values(subjectRating_seq.nextval, '3.3', '모두 화이팅', 437, 75);
insert into tblSubjectRating values(subjectRating_seq.nextval, '3.1', '많은걸 배웠습니다.', 438, 75);
insert into tblSubjectRating values(subjectRating_seq.nextval, '3.9', '감사합니다.', 439, 75);
insert into tblSubjectRating values(subjectRating_seq.nextval, '2.9', '다음 기수 화이팅', 440, 75);
insert into tblSubjectRating values(subjectRating_seq.nextval, '2.2', '많은걸 배웠습니다.', 441, 75);
insert into tblSubjectRating values(subjectRating_seq.nextval, '4.3', '진도 따라잡기가 힘들어요.', 442, 75);
insert into tblSubjectRating values(subjectRating_seq.nextval, '3.0', '다음 기수 화이팅', 443, 75);
insert into tblSubjectRating values(subjectRating_seq.nextval, '4.4', '좋은 곳에 취칙할 수 있을거 같아요.', 444, 75);
insert into tblSubjectRating values(subjectRating_seq.nextval, '2.7', '모두 화이팅', 445, 75);
insert into tblSubjectRating values(subjectRating_seq.nextval, '3.1', '선생님께서 정말 잘 가르치셨습니다.', 446, 75);
insert into tblSubjectRating values(subjectRating_seq.nextval, '3.6', '너무 어려워요.', 447, 75);
insert into tblSubjectRating values(subjectRating_seq.nextval, '3.7', '진도 따라잡기가 힘들어요.', 448, 75);
insert into tblSubjectRating values(subjectRating_seq.nextval, '4.2', '감사합니다.', 449, 75);
insert into tblSubjectRating values(subjectRating_seq.nextval, '4.7', '모두 화이팅', 450, 75);
insert into tblSubjectRating values(subjectRating_seq.nextval, '4.3', '진도 따라잡기가 힘들어요.', 451, 75);
insert into tblSubjectRating values(subjectRating_seq.nextval, '2.3', '프로젝트가 너무 어려웠어요.', 452, 75);
insert into tblSubjectRating values(subjectRating_seq.nextval, '3.1', '프로젝트가 너무 어려웠어요.', 453, 76);
insert into tblSubjectRating values(subjectRating_seq.nextval, '4.5', '감사합니다.', 454, 76);
insert into tblSubjectRating values(subjectRating_seq.nextval, '4.7', '과정 기간이 짧아서 아쉬웠어요.', 455, 76);
insert into tblSubjectRating values(subjectRating_seq.nextval, '2.9', '모두 화이팅', 456, 76);
insert into tblSubjectRating values(subjectRating_seq.nextval, '3.7', '감사합니다.', 457, 76);
insert into tblSubjectRating values(subjectRating_seq.nextval, '2.2', '많은걸 배웠습니다.', 458, 76);
insert into tblSubjectRating values(subjectRating_seq.nextval, '3.8', '과정 기간이 짧아서 아쉬웠어요.', 459, 76);
insert into tblSubjectRating values(subjectRating_seq.nextval, '2.5', '너무 어려워요.', 460, 76);
insert into tblSubjectRating values(subjectRating_seq.nextval, '3.9', '감사합니다.', 461, 76);
insert into tblSubjectRating values(subjectRating_seq.nextval, '3.5', '너무 어려워요.', 462, 76);
insert into tblSubjectRating values(subjectRating_seq.nextval, '3.3', '좋은 사람들이랑 같이 해서 좋았어요.', 463, 76);
insert into tblSubjectRating values(subjectRating_seq.nextval, '2.0', '너무 유익한 수업이었어요.', 464, 76);
insert into tblSubjectRating values(subjectRating_seq.nextval, '4.3', '감사합니다.', 465, 76);
insert into tblSubjectRating values(subjectRating_seq.nextval, '4.3', '너무 어려워요.', 466, 76);
insert into tblSubjectRating values(subjectRating_seq.nextval, '3.2', '선생님께서 정말 잘 가르치셨습니다.', 467, 76);
insert into tblSubjectRating values(subjectRating_seq.nextval, '4.1', '진도 따라잡기가 힘들어요.', 468, 76);
insert into tblSubjectRating values(subjectRating_seq.nextval, '3.5', '많은걸 배웠습니다.', 469, 76);
insert into tblSubjectRating values(subjectRating_seq.nextval, '2.0', '감사합니다.', 470, 76);
insert into tblSubjectRating values(subjectRating_seq.nextval, '2.8', '감사합니다.', 471, 76);
insert into tblSubjectRating values(subjectRating_seq.nextval, '3.4', '너무 어려워요.', 472, 76);
insert into tblSubjectRating values(subjectRating_seq.nextval, '4.8', '좋은 곳에 취칙할 수 있을거 같아요.', 473, 76);
